date,country,D,H,I,M,S
2021-04-01,India,0.0,1406.0,0.0,0.0,0.0
2021-04-01,Sweden,0.0,9.0,0.0,0.0,0.0
2021-04-02,India,0.0,1050.0,356.0,0.0,0.0
2021-04-02,Sweden,0.0,6.0,3.0,0.0,0.0
2021-04-03,India,0.0,803.0,603.0,0.0,0.0
2021-04-03,Sweden,0.0,5.0,4.0,0.0,0.0
2021-04-04,India,0.0,621.0,785.0,0.0,0.0
2021-04-04,Sweden,0.0,4.0,5.0,0.0,0.0
2021-04-05,India,0.0,466.0,940.0,0.0,0.0
2021-04-05,Sweden,0.0,4.0,5.0,0.0,0.0
2021-04-06,India,0.0,381.0,669.0,191.0,165.0
2021-04-06,Sweden,0.0,3.0,3.0,3.0,0.0
2021-04-07,India,0.0,298.0,505.0,314.0,289.0
2021-04-07,Sweden,0.0,2.0,3.0,3.0,1.0
2021-04-08,India,0.0,242.0,379.0,399.0,386.0
2021-04-08,Sweden,0.0,2.0,2.0,4.0,1.0
2021-04-09,India,0.0,198.0,268.0,465.0,475.0
2021-04-09,Sweden,0.0,1.0,3.0,4.0,1.0
2021-04-10,India,0.0,163.0,218.0,507.0,518.0
2021-04-10,Sweden,0.0,1.0,2.0,4.0,2.0
2021-04-11,India,0.0,141.0,157.0,552.0,556.0
2021-04-11,Sweden,0.0,0.0,2.0,4.0,3.0
2021-04-12,India,0.0,126.0,116.0,583.0,581.0
2021-04-12,Sweden,0.0,0.0,2.0,4.0,3.0
2021-04-13,India,0.0,114.0,84.0,608.0,600.0
2021-04-13,Sweden,0.0,0.0,1.0,4.0,4.0
2021-04-14,India,0.0,98.0,65.0,627.0,616.0
2021-04-14,Sweden,0.0,0.0,1.0,4.0,4.0
2021-04-15,India,0.0,92.0,49.0,638.0,627.0
2021-04-15,Sweden,0.0,0.0,0.0,4.0,5.0
2021-04-16,India,0.0,83.0,43.0,643.0,637.0
2021-04-16,Sweden,0.0,0.0,0.0,4.0,5.0
2021-04-17,India,0.0,81.0,33.0,649.0,643.0
2021-04-17,Sweden,0.0,0.0,0.0,4.0,5.0
2021-04-18,India,0.0,71.0,27.0,653.0,655.0
2021-04-18,Sweden,0.0,0.0,0.0,4.0,5.0
2021-04-19,India,0.0,63.0,29.0,655.0,659.0
2021-04-19,Sweden,0.0,0.0,0.0,4.0,5.0
2021-04-20,India,18.0,56.0,27.0,809.0,496.0
2021-04-20,Sweden,0.0,0.0,0.0,4.0,5.0
2021-04-21,India,34.0,52.0,29.0,917.0,374.0
2021-04-21,Sweden,1.0,0.0,0.0,4.0,4.0
2021-04-22,India,45.0,47.0,24.0,1005.0,285.0
2021-04-22,Sweden,1.0,0.0,0.0,4.0,4.0
2021-04-23,India,58.0,43.0,20.0,1085.0,200.0
2021-04-23,Sweden,1.0,0.0,0.0,4.0,4.0
2021-04-24,India,64.0,37.0,19.0,1125.0,161.0
2021-04-24,Sweden,1.0,0.0,0.0,5.0,3.0
2021-04-25,India,72.0,33.0,19.0,1159.0,123.0
2021-04-25,Sweden,1.0,0.0,0.0,6.0,2.0
2021-04-26,India,76.0,31.0,16.0,1181.0,102.0
2021-04-26,Sweden,1.0,0.0,0.0,6.0,2.0
2021-04-27,India,78.0,26.0,17.0,1200.0,85.0
2021-04-27,Sweden,1.0,0.0,0.0,7.0,1.0
2021-04-28,India,78.0,25.0,12.0,1220.0,71.0
2021-04-28,Sweden,1.0,0.0,0.0,7.0,1.0
2021-04-29,India,81.0,23.0,10.0,1230.0,62.0
2021-04-29,Sweden,1.0,0.0,0.0,8.0,0.0
2021-04-30,India,82.0,23.0,8.0,1240.0,53.0
2021-04-30,Sweden,1.0,0.0,0.0,8.0,0.0
2021-05-01,India,83.0,20.0,6.0,1247.0,50.0
2021-05-01,Sweden,1.0,0.0,0.0,8.0,0.0
2021-05-02,India,84.0,19.0,6.0,1259.0,38.0
2021-05-02,Sweden,1.0,0.0,0.0,8.0,0.0
2021-05-03,India,84.0,17.0,6.0,1263.0,36.0
2021-05-03,Sweden,1.0,0.0,0.0,8.0,0.0
2021-05-04,India,84.0,16.0,7.0,1265.0,34.0
2021-05-04,Sweden,1.0,0.0,0.0,8.0,0.0
2021-05-05,India,84.0,16.0,4.0,1269.0,33.0
2021-05-05,Sweden,1.0,0.0,0.0,8.0,0.0
2021-05-06,India,84.0,13.0,6.0,1278.0,25.0
2021-05-06,Sweden,1.0,0.0,0.0,8.0,0.0
2021-05-07,India,84.0,11.0,6.0,1283.0,22.0
2021-05-07,Sweden,1.0,0.0,0.0,8.0,0.0
2021-05-08,India,84.0,11.0,5.0,1287.0,19.0
2021-05-08,Sweden,1.0,0.0,0.0,8.0,0.0
2021-05-09,India,84.0,9.0,7.0,1287.0,19.0
2021-05-09,Sweden,1.0,0.0,0.0,8.0,0.0
2021-05-10,India,84.0,9.0,4.0,1294.0,15.0
2021-05-10,Sweden,1.0,0.0,0.0,8.0,0.0
2021-05-11,India,84.0,9.0,2.0,1297.0,14.0
2021-05-11,Sweden,1.0,0.0,0.0,8.0,0.0
2021-05-12,India,84.0,8.0,3.0,1299.0,12.0
2021-05-12,Sweden,1.0,0.0,0.0,8.0,0.0
2021-05-13,India,84.0,6.0,3.0,1301.0,12.0
2021-05-13,Sweden,1.0,0.0,0.0,8.0,0.0
2021-05-14,India,84.0,5.0,4.0,1302.0,11.0
2021-05-14,Sweden,1.0,0.0,0.0,8.0,0.0
2021-05-15,India,84.0,4.0,5.0,1305.0,8.0
2021-05-15,Sweden,1.0,0.0,0.0,8.0,0.0
2021-05-16,India,84.0,4.0,4.0,1306.0,8.0
2021-05-16,Sweden,1.0,0.0,0.0,8.0,0.0
2021-05-17,India,84.0,3.0,3.0,1309.0,7.0
2021-05-17,Sweden,1.0,0.0,0.0,8.0,0.0
2021-05-18,India,84.0,3.0,2.0,1310.0,7.0
2021-05-18,Sweden,1.0,0.0,0.0,8.0,0.0
2021-05-19,India,84.0,3.0,1.0,1312.0,6.0
2021-05-19,Sweden,1.0,0.0,0.0,8.0,0.0
2021-05-20,India,84.0,3.0,1.0,1312.0,6.0
2021-05-20,Sweden,1.0,0.0,0.0,8.0,0.0
2021-05-21,India,84.0,3.0,0.0,1314.0,5.0
2021-05-21,Sweden,1.0,0.0,0.0,8.0,0.0
2021-05-22,India,84.0,3.0,0.0,1315.0,4.0
2021-05-22,Sweden,1.0,0.0,0.0,8.0,0.0
2021-05-23,India,84.0,3.0,0.0,1315.0,4.0
2021-05-23,Sweden,1.0,0.0,0.0,8.0,0.0
2021-05-24,India,84.0,3.0,0.0,1315.0,4.0
2021-05-24,Sweden,1.0,0.0,0.0,8.0,0.0
2021-05-25,India,84.0,3.0,0.0,1316.0,3.0
2021-05-25,Sweden,1.0,0.0,0.0,8.0,0.0
2021-05-26,India,84.0,3.0,0.0,1316.0,3.0
2021-05-26,Sweden,1.0,0.0,0.0,8.0,0.0
2021-05-27,India,84.0,3.0,0.0,1318.0,1.0
2021-05-27,Sweden,1.0,0.0,0.0,8.0,0.0
2021-05-28,India,84.0,3.0,0.0,1318.0,1.0
2021-05-28,Sweden,1.0,0.0,0.0,8.0,0.0
2021-05-29,India,84.0,3.0,0.0,1318.0,1.0
2021-05-29,Sweden,1.0,0.0,0.0,8.0,0.0
2021-05-30,India,84.0,3.0,0.0,1318.0,1.0
2021-05-30,Sweden,1.0,0.0,0.0,8.0,0.0
2021-05-31,India,84.0,3.0,0.0,1319.0,0.0
2021-05-31,Sweden,1.0,0.0,0.0,8.0,0.0
2021-06-01,India,84.0,3.0,0.0,1319.0,0.0
2021-06-01,Sweden,1.0,0.0,0.0,8.0,0.0
2021-06-02,India,84.0,3.0,0.0,1319.0,0.0
2021-06-02,Sweden,1.0,0.0,0.0,8.0,0.0
2021-06-03,India,84.0,2.0,1.0,1319.0,0.0
2021-06-03,Sweden,1.0,0.0,0.0,8.0,0.0
2021-06-04,India,84.0,1.0,2.0,1319.0,0.0
2021-06-04,Sweden,1.0,0.0,0.0,8.0,0.0
2021-06-05,India,84.0,1.0,2.0,1319.0,0.0
2021-06-05,Sweden,1.0,0.0,0.0,8.0,0.0
2021-06-06,India,84.0,1.0,2.0,1319.0,0.0
2021-06-06,Sweden,1.0,0.0,0.0,8.0,0.0
2021-06-07,India,84.0,0.0,2.0,1320.0,0.0
2021-06-07,Sweden,1.0,0.0,0.0,8.0,0.0
2021-06-08,India,84.0,0.0,1.0,1321.0,0.0
2021-06-08,Sweden,1.0,0.0,0.0,8.0,0.0
2021-06-09,India,84.0,0.0,1.0,1321.0,0.0
2021-06-09,Sweden,1.0,0.0,0.0,8.0,0.0
2021-06-10,India,84.0,0.0,1.0,1321.0,0.0
2021-06-10,Sweden,1.0,0.0,0.0,8.0,0.0
2021-06-11,India,84.0,0.0,0.0,1321.0,1.0
2021-06-11,Sweden,1.0,0.0,0.0,8.0,0.0
2021-06-12,India,84.0,0.0,0.0,1321.0,1.0
2021-06-12,Sweden,1.0,0.0,0.0,8.0,0.0
2021-06-13,India,84.0,0.0,0.0,1321.0,1.0
2021-06-13,Sweden,1.0,0.0,0.0,8.0,0.0
2021-06-14,India,84.0,0.0,0.0,1321.0,1.0
2021-06-14,Sweden,1.0,0.0,0.0,8.0,0.0
2021-06-15,India,84.0,0.0,0.0,1321.0,1.0
2021-06-15,Sweden,1.0,0.0,0.0,8.0,0.0
2021-06-16,India,84.0,0.0,0.0,1321.0,1.0
2021-06-16,Sweden,1.0,0.0,0.0,8.0,0.0
2021-06-17,India,84.0,0.0,0.0,1321.0,1.0
2021-06-17,Sweden,1.0,0.0,0.0,8.0,0.0
2021-06-18,India,84.0,0.0,0.0,1321.0,1.0
2021-06-18,Sweden,1.0,0.0,0.0,8.0,0.0
2021-06-19,India,84.0,0.0,0.0,1321.0,1.0
2021-06-19,Sweden,1.0,0.0,0.0,8.0,0.0
2021-06-20,India,84.0,0.0,0.0,1321.0,1.0
2021-06-20,Sweden,1.0,0.0,0.0,8.0,0.0
2021-06-21,India,84.0,0.0,0.0,1321.0,1.0
2021-06-21,Sweden,1.0,0.0,0.0,8.0,0.0
2021-06-22,India,84.0,0.0,0.0,1321.0,1.0
2021-06-22,Sweden,1.0,0.0,0.0,8.0,0.0
2021-06-23,India,84.0,0.0,0.0,1321.0,1.0
2021-06-23,Sweden,1.0,0.0,0.0,8.0,0.0
2021-06-24,India,84.0,0.0,0.0,1321.0,1.0
2021-06-24,Sweden,1.0,0.0,0.0,8.0,0.0
2021-06-25,India,84.0,0.0,0.0,1322.0,0.0
2021-06-25,Sweden,1.0,0.0,0.0,8.0,0.0
2021-06-26,India,84.0,0.0,0.0,1322.0,0.0
2021-06-26,Sweden,1.0,0.0,0.0,8.0,0.0
2021-06-27,India,84.0,0.0,0.0,1322.0,0.0
2021-06-27,Sweden,1.0,0.0,0.0,8.0,0.0
2021-06-28,India,84.0,0.0,0.0,1322.0,0.0
2021-06-28,Sweden,1.0,0.0,0.0,8.0,0.0
2021-06-29,India,84.0,0.0,0.0,1322.0,0.0
2021-06-29,Sweden,1.0,0.0,0.0,8.0,0.0
2021-06-30,India,84.0,0.0,0.0,1322.0,0.0
2021-06-30,Sweden,1.0,0.0,0.0,8.0,0.0
2021-07-01,India,84.0,0.0,0.0,1322.0,0.0
2021-07-01,Sweden,1.0,0.0,0.0,8.0,0.0
2021-07-02,India,84.0,0.0,0.0,1322.0,0.0
2021-07-02,Sweden,1.0,0.0,0.0,8.0,0.0
2021-07-03,India,84.0,0.0,0.0,1322.0,0.0
2021-07-03,Sweden,1.0,0.0,0.0,8.0,0.0
2021-07-04,India,84.0,0.0,0.0,1322.0,0.0
2021-07-04,Sweden,1.0,0.0,0.0,8.0,0.0
2021-07-05,India,84.0,0.0,0.0,1322.0,0.0
2021-07-05,Sweden,1.0,0.0,0.0,8.0,0.0
2021-07-06,India,84.0,0.0,0.0,1322.0,0.0
2021-07-06,Sweden,1.0,0.0,0.0,8.0,0.0
2021-07-07,India,84.0,0.0,0.0,1322.0,0.0
2021-07-07,Sweden,1.0,0.0,0.0,8.0,0.0
2021-07-08,India,84.0,0.0,0.0,1322.0,0.0
2021-07-08,Sweden,1.0,0.0,0.0,8.0,0.0
2021-07-09,India,84.0,0.0,0.0,1322.0,0.0
2021-07-09,Sweden,1.0,0.0,0.0,8.0,0.0
2021-07-10,India,84.0,0.0,0.0,1322.0,0.0
2021-07-10,Sweden,1.0,0.0,0.0,8.0,0.0
2021-07-11,India,84.0,0.0,0.0,1322.0,0.0
2021-07-11,Sweden,1.0,0.0,0.0,8.0,0.0
2021-07-12,India,84.0,0.0,0.0,1322.0,0.0
2021-07-12,Sweden,1.0,0.0,0.0,8.0,0.0
2021-07-13,India,84.0,0.0,0.0,1322.0,0.0
2021-07-13,Sweden,1.0,0.0,0.0,8.0,0.0
2021-07-14,India,84.0,0.0,0.0,1322.0,0.0
2021-07-14,Sweden,1.0,0.0,0.0,8.0,0.0
2021-07-15,India,84.0,0.0,0.0,1322.0,0.0
2021-07-15,Sweden,1.0,0.0,0.0,8.0,0.0
2021-07-16,India,84.0,0.0,0.0,1322.0,0.0
2021-07-16,Sweden,1.0,0.0,0.0,8.0,0.0
2021-07-17,India,84.0,0.0,0.0,1322.0,0.0
2021-07-17,Sweden,1.0,0.0,0.0,8.0,0.0
2021-07-18,India,84.0,0.0,0.0,1322.0,0.0
2021-07-18,Sweden,1.0,0.0,0.0,8.0,0.0
2021-07-19,India,84.0,0.0,0.0,1322.0,0.0
2021-07-19,Sweden,1.0,0.0,0.0,8.0,0.0
2021-07-20,India,84.0,0.0,0.0,1322.0,0.0
2021-07-20,Sweden,1.0,0.0,0.0,8.0,0.0
2021-07-21,India,84.0,0.0,0.0,1322.0,0.0
2021-07-21,Sweden,1.0,0.0,0.0,8.0,0.0
2021-07-22,India,84.0,0.0,0.0,1322.0,0.0
2021-07-22,Sweden,1.0,0.0,0.0,8.0,0.0
2021-07-23,India,84.0,0.0,0.0,1322.0,0.0
2021-07-23,Sweden,1.0,0.0,0.0,8.0,0.0
2021-07-24,India,84.0,0.0,0.0,1322.0,0.0
2021-07-24,Sweden,1.0,0.0,0.0,8.0,0.0
2021-07-25,India,84.0,0.0,0.0,1322.0,0.0
2021-07-25,Sweden,1.0,0.0,0.0,8.0,0.0
2021-07-26,India,84.0,0.0,0.0,1322.0,0.0
2021-07-26,Sweden,1.0,0.0,0.0,8.0,0.0
2021-07-27,India,84.0,0.0,0.0,1322.0,0.0
2021-07-27,Sweden,1.0,0.0,0.0,8.0,0.0
2021-07-28,India,84.0,0.0,0.0,1322.0,0.0
2021-07-28,Sweden,1.0,0.0,0.0,8.0,0.0
2021-07-29,India,84.0,0.0,0.0,1322.0,0.0
2021-07-29,Sweden,1.0,0.0,0.0,8.0,0.0
2021-07-30,India,84.0,0.0,0.0,1322.0,0.0
2021-07-30,Sweden,1.0,0.0,0.0,8.0,0.0
2021-07-31,India,84.0,0.0,0.0,1322.0,0.0
2021-07-31,Sweden,1.0,0.0,0.0,8.0,0.0
2021-08-01,India,84.0,0.0,0.0,1322.0,0.0
2021-08-01,Sweden,1.0,0.0,0.0,8.0,0.0
2021-08-02,India,84.0,0.0,0.0,1322.0,0.0
2021-08-02,Sweden,1.0,0.0,0.0,8.0,0.0
2021-08-03,India,84.0,0.0,0.0,1322.0,0.0
2021-08-03,Sweden,1.0,0.0,0.0,8.0,0.0
2021-08-04,India,84.0,191.0,0.0,1131.0,0.0
2021-08-04,Sweden,1.0,3.0,0.0,5.0,0.0
2021-08-05,India,84.0,264.0,50.0,1008.0,0.0
2021-08-05,Sweden,1.0,3.0,0.0,5.0,0.0
2021-08-06,India,84.0,269.0,130.0,923.0,0.0
2021-08-06,Sweden,1.0,3.0,1.0,4.0,0.0
2021-08-07,India,84.0,254.0,211.0,857.0,0.0
2021-08-07,Sweden,1.0,2.0,2.0,4.0,0.0
2021-08-08,India,84.0,220.0,287.0,815.0,0.0
2021-08-08,Sweden,1.0,1.0,3.0,4.0,0.0
2021-08-09,India,84.0,206.0,296.0,789.0,31.0
2021-08-09,Sweden,1.0,1.0,3.0,4.0,0.0
2021-08-10,India,84.0,184.0,269.0,797.0,72.0
2021-08-10,Sweden,1.0,1.0,2.0,5.0,0.0
2021-08-11,India,84.0,170.0,227.0,815.0,110.0
2021-08-11,Sweden,1.0,1.0,1.0,6.0,0.0
2021-08-12,India,84.0,154.0,186.0,837.0,145.0
2021-08-12,Sweden,1.0,1.0,0.0,6.0,1.0
2021-08-13,India,84.0,134.0,158.0,859.0,171.0
2021-08-13,Sweden,1.0,0.0,1.0,6.0,1.0
2021-08-14,India,84.0,120.0,124.0,883.0,195.0
2021-08-14,Sweden,1.0,0.0,1.0,6.0,1.0
2021-08-15,India,84.0,105.0,106.0,901.0,210.0
2021-08-15,Sweden,1.0,0.0,1.0,6.0,1.0
2021-08-16,India,84.0,90.0,90.0,915.0,227.0
2021-08-16,Sweden,1.0,0.0,1.0,6.0,1.0
2021-08-17,India,84.0,83.0,68.0,929.0,242.0
2021-08-17,Sweden,1.0,0.0,0.0,7.0,1.0
2021-08-18,India,84.0,223.0,63.0,784.0,252.0
2021-08-18,Sweden,1.0,0.0,0.0,7.0,1.0
2021-08-19,India,84.0,282.0,91.0,688.0,261.0
2021-08-19,Sweden,1.0,0.0,0.0,7.0,1.0
2021-08-20,India,84.0,311.0,131.0,611.0,269.0
2021-08-20,Sweden,1.0,0.0,0.0,7.0,1.0
2021-08-21,India,84.0,303.0,210.0,537.0,272.0
2021-08-21,Sweden,1.0,0.0,0.0,7.0,1.0
2021-08-22,India,84.0,281.0,258.0,504.0,279.0
2021-08-22,Sweden,1.0,1.0,0.0,6.0,1.0
2021-08-23,India,88.0,253.0,271.0,521.0,273.0
2021-08-23,Sweden,1.0,1.0,1.0,5.0,1.0
2021-08-24,India,92.0,219.0,268.0,564.0,263.0
2021-08-24,Sweden,1.0,1.0,1.0,5.0,1.0
2021-08-25,India,94.0,195.0,223.0,626.0,268.0
2021-08-25,Sweden,1.0,2.0,1.0,4.0,1.0
2021-08-26,India,101.0,184.0,192.0,666.0,263.0
2021-08-26,Sweden,1.0,1.0,2.0,5.0,0.0
2021-08-27,India,105.0,151.0,173.0,705.0,272.0
2021-08-27,Sweden,1.0,2.0,1.0,4.0,1.0
2021-08-28,India,110.0,142.0,136.0,740.0,278.0
2021-08-28,Sweden,1.0,2.0,1.0,4.0,1.0
2021-08-29,India,112.0,128.0,114.0,767.0,285.0
2021-08-29,Sweden,1.0,2.0,1.0,4.0,1.0
2021-08-30,India,114.0,120.0,103.0,783.0,286.0
2021-08-30,Sweden,1.0,2.0,0.0,5.0,1.0
2021-08-31,India,114.0,107.0,77.0,810.0,298.0
2021-08-31,Sweden,1.0,2.0,0.0,5.0,1.0
2021-09-01,India,115.0,95.0,72.0,825.0,299.0
2021-09-01,Sweden,1.0,2.0,0.0,5.0,1.0
2021-09-02,India,116.0,91.0,59.0,842.0,298.0
2021-09-02,Sweden,1.0,2.0,0.0,5.0,1.0
2021-09-03,India,116.0,94.0,45.0,849.0,302.0
2021-09-03,Sweden,1.0,2.0,0.0,5.0,1.0
2021-09-04,India,116.0,85.0,42.0,856.0,307.0
2021-09-04,Sweden,1.0,1.0,1.0,5.0,1.0
2021-09-05,India,118.0,78.0,39.0,863.0,308.0
2021-09-05,Sweden,1.0,1.0,1.0,5.0,1.0
2021-09-06,India,123.0,75.0,34.0,887.0,287.0
2021-09-06,Sweden,1.0,1.0,1.0,5.0,1.0
2021-09-07,India,125.0,74.0,36.0,911.0,260.0
2021-09-07,Sweden,1.0,1.0,1.0,5.0,1.0
2021-09-08,India,129.0,71.0,28.0,950.0,228.0
2021-09-08,Sweden,1.0,1.0,0.0,6.0,1.0
2021-09-09,India,133.0,64.0,26.0,978.0,205.0
2021-09-09,Sweden,1.0,1.0,0.0,6.0,1.0
2021-09-10,India,137.0,65.0,24.0,1008.0,172.0
2021-09-10,Sweden,1.0,1.0,0.0,7.0,0.0
2021-09-11,India,143.0,56.0,26.0,1036.0,145.0
2021-09-11,Sweden,1.0,1.0,0.0,7.0,0.0
2021-09-12,India,148.0,54.0,25.0,1054.0,125.0
2021-09-12,Sweden,1.0,1.0,0.0,7.0,0.0
2021-09-13,India,150.0,53.0,18.0,1073.0,112.0
2021-09-13,Sweden,1.0,1.0,0.0,7.0,0.0
2021-09-14,India,152.0,52.0,21.0,1095.0,86.0
2021-09-14,Sweden,1.0,1.0,0.0,7.0,0.0
2021-09-15,India,152.0,48.0,16.0,1111.0,79.0
2021-09-15,Sweden,1.0,1.0,0.0,7.0,0.0
2021-09-16,India,154.0,43.0,18.0,1118.0,73.0
2021-09-16,Sweden,1.0,1.0,0.0,7.0,0.0
2021-09-17,India,156.0,38.0,21.0,1130.0,61.0
2021-09-17,Sweden,1.0,1.0,0.0,7.0,0.0
2021-09-18,India,156.0,36.0,21.0,1138.0,55.0
2021-09-18,Sweden,1.0,1.0,0.0,7.0,0.0
2021-09-19,India,156.0,33.0,20.0,1146.0,51.0
2021-09-19,Sweden,1.0,1.0,0.0,7.0,0.0
2021-09-20,India,156.0,24.0,22.0,1154.0,50.0
2021-09-20,Sweden,1.0,1.0,0.0,7.0,0.0
2021-09-21,India,157.0,23.0,18.0,1159.0,49.0
2021-09-21,Sweden,1.0,1.0,0.0,7.0,0.0
2021-09-22,India,157.0,19.0,19.0,1172.0,39.0
2021-09-22,Sweden,1.0,0.0,1.0,7.0,0.0
2021-09-23,India,157.0,19.0,15.0,1183.0,32.0
2021-09-23,Sweden,1.0,0.0,1.0,7.0,0.0
2021-09-24,India,157.0,20.0,7.0,1188.0,34.0
2021-09-24,Sweden,1.0,0.0,1.0,7.0,0.0
2021-09-25,India,157.0,18.0,8.0,1192.0,31.0
2021-09-25,Sweden,1.0,0.0,1.0,7.0,0.0
2021-09-26,India,157.0,17.0,4.0,1197.0,31.0
2021-09-26,Sweden,1.0,0.0,0.0,8.0,0.0
2021-09-27,India,157.0,16.0,5.0,1202.0,26.0
2021-09-27,Sweden,1.0,0.0,0.0,8.0,0.0
2021-09-28,India,157.0,14.0,7.0,1202.0,26.0
2021-09-28,Sweden,1.0,0.0,0.0,8.0,0.0
2021-09-29,India,157.0,13.0,6.0,1208.0,22.0
2021-09-29,Sweden,1.0,0.0,0.0,8.0,0.0
2021-09-30,India,157.0,12.0,6.0,1210.0,21.0
2021-09-30,Sweden,1.0,0.0,0.0,8.0,0.0
2021-10-01,India,157.0,11.0,6.0,1210.0,22.0
2021-10-01,Sweden,1.0,0.0,0.0,8.0,0.0
2021-10-02,India,157.0,9.0,5.0,1215.0,20.0
2021-10-02,Sweden,1.0,0.0,0.0,8.0,0.0
2021-10-03,India,157.0,9.0,4.0,1219.0,17.0
2021-10-03,Sweden,1.0,0.0,0.0,8.0,0.0
2021-10-04,India,157.0,6.0,6.0,1223.0,14.0
2021-10-04,Sweden,1.0,0.0,0.0,8.0,0.0
2021-10-05,India,158.0,7.0,5.0,1225.0,11.0
2021-10-05,Sweden,1.0,0.0,0.0,8.0,0.0
2021-10-06,India,158.0,8.0,3.0,1227.0,10.0
2021-10-06,Sweden,1.0,0.0,0.0,8.0,0.0
2021-10-07,India,158.0,7.0,4.0,1227.0,10.0
2021-10-07,Sweden,1.0,0.0,0.0,8.0,0.0
2021-10-08,India,158.0,7.0,1.0,1233.0,7.0
2021-10-08,Sweden,1.0,0.0,0.0,8.0,0.0
2021-10-09,India,158.0,7.0,1.0,1233.0,7.0
2021-10-09,Sweden,1.0,0.0,0.0,8.0,0.0
2021-10-10,India,158.0,7.0,1.0,1235.0,5.0
2021-10-10,Sweden,1.0,0.0,0.0,8.0,0.0
2021-10-11,India,158.0,7.0,0.0,1235.0,6.0
2021-10-11,Sweden,1.0,0.0,0.0,8.0,0.0
2021-10-12,India,158.0,6.0,1.0,1236.0,5.0
2021-10-12,Sweden,1.0,0.0,0.0,8.0,0.0
2021-10-13,India,158.0,6.0,1.0,1236.0,5.0
2021-10-13,Sweden,1.0,0.0,0.0,8.0,0.0
2021-10-14,India,158.0,5.0,2.0,1237.0,4.0
2021-10-14,Sweden,1.0,0.0,0.0,8.0,0.0
2021-10-15,India,158.0,5.0,2.0,1238.0,3.0
2021-10-15,Sweden,1.0,0.0,0.0,8.0,0.0
